Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Ambrose, Rona",1969-03-15,"MP (2015/10/19 - 2017/07/04)
MP (2004/06/28 - 2015/10/18)
","2015/10/19 - 2017/07/04
2004/06/28 - 2015/10/18
",NA,"Sturgeon River--Parkland (2015/10/19 - 2017/07/04)
Edmonton--Spruce Grove (2004/06/28 - 2015/10/18)
","Alberta
Alberta
",Woman,"Conservative Party of Canada (2004/06/28 - 2017/07/04)
","4755 days (13 years, 7 days)"
"Amos, William",1974-12-04,"MP (2015/10/19 - 2021/09/19)
","2015/10/19 - 2021/09/19
",NA,"Pontiac (2015/10/19 - 2021/09/19)
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - 2021/09/19)
","2163 days (5 years, 11 months, 2 days)"
"Anand, Anita",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Oakville (2019/10/21 - )
","Ontario
",Woman,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Anandasangaree, Gary",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Scarborough--Rouge Park (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Anawak, Jack Iyerak",1950-09-26,"MP (1988/11/21 - 1997/04/15)
","1988/11/21 - 1997/04/15
",NA,"Nunatsiaq (1988/11/21 - 1997/04/15)
","Northwest Territories
",Man,"Liberal Party of Canada (1988/11/21 - 1997/04/15)
","3068 days (8 years, 4 months, 24 days)"
"Anders, Rob",1972-04-01,"MP (1997/06/02 - 2015/10/18)
","1997/06/02 - 2015/10/18
",NA,"Calgary West (1997/06/02 - 2015/10/18)
","Alberta
",Man,"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)
","6713 days (18 years, 4 months, 17 days)"
"Anderson, David",1957-08-15,"MP (2000/11/27 - 2019/10/20)
","2000/11/27 - 2019/10/20
",NA,"Cypress Hills--Grasslands (2000/11/27 - 2019/10/20)
","Saskatchewan
",Man,"Conservative Party of Canada (2003/12/23 - 2019/10/20)
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)
","6902 days (18 years, 10 months, 24 days)"
"Anderson, David",1937-08-16,"MP (1993/10/25 - 2006/01/22)
MP (1968/06/25 - 1972/07/24)
","1993/10/25 - 2006/01/22
1968/06/25 - 1972/07/24
",NA,"Victoria (1993/10/25 - 2006/01/22)
Esquimalt--Saanich (1968/06/25 - 1972/07/24)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
Liberal Party of Canada (1968/06/25 - 1972/07/24)
","5964 days (16 years, 3 months, 29 days)"
"Anderson, Dawn",NA,"Senator (2018/12/12 - )
",NA,"2018/12/12 - 
","Northwest Territories (2018/12/12 - )
","Northwest Territories
",Woman,"Progressive Senate Group (2021/03/01 - )
Independent Senators Group (2019/02/21 - 2021/02/28)
Non-affiliated (2018/12/12 - 2019/02/20)
","1916 days (5 years, 2 months, 29 days)"
"Anderson, Doris Margaret",1922-07-05,"Senator (1995/09/21 - 1997/07/05)
",NA,"1995/09/21 - 1997/07/05
","St. Peter's, Kings County (1995/09/21 - 1997/07/05)
","Prince Edward Island
",Woman,"Liberal Party of Canada (1995/09/21 - 1997/07/05)
","654 days (1 years, 9 months, 15 days)"
"Anderson, Edna",1922-11-09,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Simcoe Centre (1988/11/21 - 1993/10/24)
","Ontario
",Woman,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Anderson, Hugh Alan",1933-09-25,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Comox--Alberni (1974/07/08 - 1979/05/21)
","British Columbia
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Anderson, Margaret Jean",1915-08-07,"Senator (1978/03/23 - 1990/08/07)
",NA,"1978/03/23 - 1990/08/07
","Northumberland-Miramichi (1978/03/23 - 1990/08/07)
","New Brunswick
",Woman,"Liberal Party of Canada (1978/03/23 - 1990/08/07)
","4521 days (12 years, 4 months, 16 days)"
"Andras, Robert Knight",1921-02-20,"MP (1979/05/22 - 1980/02/17)
MP (1965/11/08 - 1979/05/21)
","1979/05/22 - 1980/02/17
1965/11/08 - 1979/05/21
",NA,"Thunder Bay--Nipigon (1979/05/22 - 1980/02/17)
Port Arthur (1965/11/08 - 1979/05/21)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1965/11/08 - 1980/02/17)
","5215 days (14 years, 3 months, 11 days)"
"André, Guy",1959-11-17,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Berthier--Maskinongé (2004/06/28 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Andre, Harvie",1940-07-27,"MP (1972/10/30 - 1993/10/24)
","1972/10/30 - 1993/10/24
",NA,"Calgary Centre (1972/10/30 - 1993/10/24)
","Alberta
",Man,"Progressive Conservative Party (1972/10/30 - 1993/10/24)
","7665 days (20 years, 11 months, 25 days)"
"Andres, William",1925-08-02,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Lincoln (1974/07/08 - 1979/05/21)
","Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Andrews, Scott",1974-12-28,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Avalon (2008/10/14 - 2015/10/18)
","Newfoundland and Labrador
",Man,"Independent (2014/11/05 - 2015/10/18)
Liberal Party of Canada (2008/10/14 - 2014/11/04)
","2561 days (7 years, 4 days)"
"Andreychuk, Raynell",NA,"Senator (1993/03/11 - 2019/08/13)
",NA,"1993/03/11 - 2019/08/13
","Saskatchewan (1993/03/11 - 2019/08/13)
","Saskatchewan
",Woman,"Conservative Party of Canada (2004/02/02 - 2019/08/13)
Progressive Conservative Party (1993/03/11 - 2004/02/01)
","9652 days (26 years, 5 months, 4 days)"
"Anguish, Douglas Keith",1950-07-08,"MP (1980/02/18 - 1984/09/03)
","1980/02/18 - 1984/09/03
",NA,"The Battlefords--Meadow Lake (1980/02/18 - 1984/09/03)
","Saskatchewan
",Man,"New Democratic Party (1980/02/18 - 1984/09/03)
","1660 days (4 years, 6 months, 16 days)"
"Angus, Charlie",1962-11-14,"MP (2004/06/28 - )
","2004/06/28 - 
",NA,"Timmins--James Bay (2004/06/28 - )
","Ontario
",Man,"New Democratic Party (2004/06/28 - )
","7196 days (19 years, 8 months, 13 days)"
"Angus, Iain Francis",1947-06-01,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Thunder Bay--Atikokan (1984/09/04 - 1993/10/24)
","Ontario
",Man,"New Democratic Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Angus, W. David",1937-07-21,"Senator (1993/06/10 - 2012/07/21)
",NA,"1993/06/10 - 2012/07/21
","Alma (1993/06/10 - 2012/07/21)
","Quebec
",Man,"Conservative Party of Canada (2004/02/02 - 2012/07/21)
Progressive Conservative Party (1993/06/10 - 2004/02/01)
","6982 days (19 years, 1 months, 12 days)"
"Appolloni, Ursula",1929-12-07,"MP (1979/05/22 - 1984/09/03)
MP (1974/07/08 - 1979/05/21)
","1979/05/22 - 1984/09/03
1974/07/08 - 1979/05/21
",NA,"York South--Weston (1979/05/22 - 1984/09/03)
York South (1974/07/08 - 1979/05/21)
","Ontario
Ontario
",Woman,"Liberal Party of Canada (1974/07/08 - 1984/09/03)
","3711 days (10 years, 1 months, 29 days)"
"Argue, Hazen Robert",1921-01-06,"MP (1949/06/27 - 1963/04/07)
MP (1945/06/11 - 1949/06/26)
Senator (1966/02/24 - 1991/10/02)
","1949/06/27 - 1963/04/07
1945/06/11 - 1949/06/26
","1966/02/24 - 1991/10/02
","Regina (1966/02/24 - 1991/10/02)
Assiniboia (1949/06/27 - 1963/04/07)
Wood Mountain (1945/06/11 - 1949/06/26)
","Saskatchewan
Saskatchewan
Saskatchewan
",Man,"Liberal Party of Canada (1966/02/24 - 1991/10/02)
Liberal Party of Canada (1962/02/20 - 1963/04/07)
New Democratic Party (1961/08/03 - 1962/02/19)
Co-operative Commonwealth Federation (1945/06/11 - 1961/08/02)
","15862 days (43 years, 5 months, 4 days)"
"Armstrong, Frederick Thomas",1907-11-19,"MP (1963/04/08 - 1965/11/07)
","1963/04/08 - 1965/11/07
",NA,"Shelburne--Yarmouth--Clare (1963/04/08 - 1965/11/07)
","Nova Scotia
",Man,"Liberal Party of Canada (1963/04/08 - 1965/11/07)
","945 days (2 years, 7 months, 2 days)"
"Armstrong, Scott",1966-07-09,"MP (2009/11/09 - 2015/10/18)
","2009/11/09 - 2015/10/18
",NA,"Cumberland--Colchester--Musquodoboit Valley (2009/11/09 - 2015/10/18)
","Nova Scotia
",Man,"Conservative Party of Canada (2009/11/09 - 2015/10/18)
","2170 days (5 years, 11 months, 9 days)"
"Arnold, Mel",1958,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"North Okanagan--Shuswap (2015/10/19 - )
","British Columbia
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Arnot, David",NA,"Senator (2021/07/29 - )
",NA,"2021/07/29 - 
","Saskatchewan (2021/07/29 - )
","Saskatchewan
",Man,"Independent Senators Group (2021/09/17 - )
Non-affiliated (2021/07/29 - 2021/09/16)
","956 days (2 years, 7 months, 13 days)"
"Arrol, Ian MacLachlan",1924-02-20,"MP (1972/10/30 - 1974/07/07)
","1972/10/30 - 1974/07/07
",NA,"York East (1972/10/30 - 1974/07/07)
","Ontario
",Man,"Progressive Conservative Party (1972/10/30 - 1974/07/07)
","616 days (1 years, 8 months, 8 days)"
"Arseneault, Guy H.",1952-05-11,"MP (1989/12/29 - 1997/06/01)
MP (1988/11/21 - 1989/12/28)
","1989/12/29 - 1997/06/01
1988/11/21 - 1989/12/28
",NA,"Restigouche--Chaleur (1989/12/29 - 1997/06/01)
Restigouche (1988/11/21 - 1989/12/28)
","New Brunswick
New Brunswick
",Man,"Liberal Party of Canada (1988/11/21 - 1997/06/01)
","3115 days (8 years, 6 months, 10 days)"
"Arseneault, René",1966-07-01,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Madawaska--Restigouche (2015/10/19 - )
","New Brunswick
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Arthur, André",1943-12-21,"MP (2006/01/23 - 2011/05/01)
","2006/01/23 - 2011/05/01
",NA,"Portneuf--Jacques-Cartier (2006/01/23 - 2011/05/01)
","Quebec
",Man,"Independent (2006/01/23 - 2011/05/01)
","1925 days (5 years, 3 months, 8 days)"
"Arya, Chandra",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Nepean (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Aseltine, Walter Morley",1886-09-03,"Senator (1933/12/30 - 1971/03/31)
",NA,"1933/12/30 - 1971/03/31
","Rosetown (1933/12/30 - 1971/03/31)
","Saskatchewan
",Man,"Progressive Conservative Party (1942/12/11 - 1971/03/31)
Conservative (1867-1942) (1933/12/30 - 1942/12/10)
","13606 days (37 years, 3 months, 1 days)"
"Ashfield, Keith",1952-03-28,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Fredericton (2008/10/14 - 2015/10/18)
","New Brunswick
",Man,"Conservative Party of Canada (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Ashton, Niki",1982-09-09,"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)
","2015/10/19 - 
2008/10/14 - 2015/10/18
",NA,"Churchill--Keewatinook Aski (2015/10/19 - )
Churchill (2008/10/14 - 2015/10/18)
","Manitoba
Manitoba
",Woman,"New Democratic Party (2008/10/14 - )
","5627 days (15 years, 4 months, 26 days)"
"Aspin, Jay",1949-08-19,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Nipissing--Timiskaming (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Assad, Mark Joseph",1940-06-14,"MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)
","1997/06/02 - 2004/06/27
1988/11/21 - 1997/06/01
",NA,"Gatineau (1997/06/02 - 2004/06/27)
Gatineau--La Lièvre (1988/11/21 - 1997/06/01)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1988/11/21 - 2004/06/27)
","5698 days (15 years, 7 months, 6 days)"
"Assadourian, Sarkis",1948-01-25,"MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Brampton Centre (1997/06/02 - 2004/06/27)
Don Valley North (1993/10/25 - 1997/06/01)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Asselin, Edmund Tobin",1920-09-26,"MP (1962/06/18 - 1965/11/07)
","1962/06/18 - 1965/11/07
",NA,"Notre-Dame-de-Grâce (1962/06/18 - 1965/11/07)
","Quebec
",Man,"Liberal Party of Canada (1962/06/18 - 1965/11/07)
","1239 days (3 years, 4 months, 21 days)"
"Asselin, Gérard",1950-04-19,"MP (2004/06/28 - 2011/05/01)
MP (1993/10/25 - 2004/06/27)
","2004/06/28 - 2011/05/01
1993/10/25 - 2004/06/27
",NA,"Manicouagan (2004/06/28 - 2011/05/01)
Charlevoix (1993/10/25 - 2004/06/27)
","Quebec
Quebec
",Man,"Bloc Québécois (1993/10/25 - 2011/05/01)
","6398 days (17 years, 6 months, 6 days)"
"Asselin, Joseph Patrick Tobin",1930-03-29,"MP (1963/04/08 - 1968/06/24)
","1963/04/08 - 1968/06/24
",NA,"Richmond--Wolfe (1963/04/08 - 1968/06/24)
","Quebec
",Man,"Liberal Party of Canada (1963/04/08 - 1968/06/24)
","1905 days (5 years, 2 months, 18 days)"
"Asselin, Martial",1924-02-03,"MP (1965/11/08 - 1972/08/31)
MP (1958/03/31 - 1962/06/17)
Senator (1972/09/01 - 1990/08/07)
","1965/11/08 - 1972/08/31
1958/03/31 - 1962/06/17
","1972/09/01 - 1990/08/07
","Stadacona (1972/09/01 - 1990/08/07)
Charlevoix (1965/11/08 - 1972/08/31)
Charlevoix (1958/03/31 - 1962/06/17)
","Quebec
Quebec
Quebec
",Man,"Progressive Conservative Party (1965/11/08 - 1990/08/07)
Progressive Conservative Party (1958/03/31 - 1962/06/17)
","10579 days (28 years, 11 months, 17 days)"
"Atamanenko, Alex",1945-01-24,"MP (2006/01/23 - 2015/10/18)
","2006/01/23 - 2015/10/18
",NA,"British Columbia Southern Interior (2006/01/23 - 2015/10/18)
","British Columbia
",Man,"New Democratic Party (2006/01/23 - 2015/10/18)
","3556 days (9 years, 8 months, 26 days)"
"Ataullahjan, Salma",NA,"Senator (2010/07/09 - )
",NA,"2010/07/09 - 
","Toronto (2010/07/09 - )
","Ontario
",Woman,"Conservative Party of Canada (2010/07/09 - )
","4994 days (13 years, 8 months, 3 days)"
"Atkey, Ronald George",1942-02-15,"MP (1979/05/22 - 1980/02/17)
MP (1972/10/30 - 1974/07/07)
","1979/05/22 - 1980/02/17
1972/10/30 - 1974/07/07
",NA,"St. Paul's (1979/05/22 - 1980/02/17)
St. Paul's (1972/10/30 - 1974/07/07)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1980/02/17)
Progressive Conservative Party (1972/10/30 - 1974/07/07)
","888 days (2 years, 5 months, 6 days)"
